PropertyID,Latitude,Longitude,Price,Area_sqft,Bedrooms,ConsumerIncome
1,13.0827,80.2707,4500000,1200,2,55000
2,13.04,80.25,6200000,1500,3,70000
3,13.1,80.28,3900000,1000,2,48000
4,13.15,80.3,8700000,2100,4,120000
5,13.06,80.22,5200000,1400,3,65000
6,13.12,80.31,9400000,2500,4,140000
7,13.03,80.24,4100000,1100,2,50000
8,13.09,80.26,5800000,1600,3,75000
9,13.18,80.33,9800000,2600,4,150000
10,13.11,80.29,7600000,1900,3,100000
11,13.05,80.23,4700000,1250,2,56000
12,13.14,80.32,9200000,2400,4,135000
13,13.02,80.21,3800000,950,2,45000
14,13.16,80.34,10100000,2700,5,160000
15,13.08,80.27,6100000,1550,3,78000
16,13.07,80.26,5600000,1450,3,72000
17,13.17,80.35,10800000,2800,5,170000
18,13.13,80.3,8300000,2050,4,115000
19,13.04,80.22,4300000,1150,2,52000
20,13.19,80.36,11200000,3000,5,180000
